id	targetkeyword	targetrank	targetrankred	targetkeyworddetail	targetrankdetail	perpetkeyword	perpetrank	perpetrankred	perpetkeyworddetail	perpetrankdetail	gendersclean	itypeclean	itypewide	institutionlocation	institutionclean	cleandiscipline	reported	reportedwide	someconsequence	institutionperpetrator	institutiontarget	city	state	country	zipcode_us	zipcode	zipcode_other
733	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University			Anthropology	Yes	Yes	Yes								
734	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Medieval Studies	Yes	Yes	None								
735	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Sociology	Unknown	Unknown	None								
736	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Pittsburgh, Pennsylvania	University of Pittsburgh	Spanish	Unknown	Unknown	None			Pittsburgh	Pennsylvania	US	15261	15261	
737	Graduate Student	4	6	Master Student	6.5	Faculty	7	16	Faculty	16	Male	R2	Research University	Laramie, Wyoming	University of Wyoming	English	No	Private	None			Laramie	Wyoming	US	82072	82072	
738	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College			English	Unknown	Unknown	Unknown								
739	Tenured Professor	9	24	Full Professor	25.5	Administration	10	26.5	Management	26	Male	Other University	Research University			Biology	No	No	None								
740	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	(UK)		Literature	No	No	None					UK			
741	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Other University	Research University				Unknown	Unknown	Unknown								
742	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Regional Teaching College	Other College			Social Anthropology	No	No	None								
743	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R3	Research University	San Francisco, California	San Francisco State University		Yes	Yes	None			San Francisco	California	US	94132	94132	
744	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Faculty	7	16	Faculty	16	Male	Ivy League	Research University	New Haven, Connecticut	Yale University	English	Unknown	Unknown	None			New Haven	Connecticut	US	06511	06511	
745	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	(UK)		Literature	No	No	None					UK			
746	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College			English	No	No	None								
747	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Faculty	7	16	Faculty	16	Male	R1	Research University	Stanford, California	Stanford University	English	Unknown	Unknown	Unknown			Stanford	California	US	94305	94305	
748	Faculty	7	16	Lecturer	16.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Columbia, Missouri	University of Missouri - Columbia	Anthropology, Archaeology	Yes	Yes	None			Columbia	Missouri	US	65201	65201	
749	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Regional Teaching College	Other College			Applied Health	Yes	Yes	None								
750	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Regional Teaching College	Other College			Applied Health	Unknown	Unknown	None								
751	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R2	Research University			English	Unknown	Unknown	None								
752	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R2	Research University	San Marcos, Texas	Texas State University	Music	No	No	None			San Marcos	Texas	US	78666	78666	
753	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Detroit, Michigan	Wayne State University	English	Unknown	Unknown	Unknown			Detroit	Michigan	US	48202	48202	
754	Tenured Professor	9	24	Associate Professor	24.5	Faculty	7	16	Faculty	16	Male	Unknown	Research University			History 	Unknown	Unknown	None								
755	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University				Unknown	Private	None								
756	Graduate Student	4	6	Master Student	6.5	Graduate Student	4	6	Graduate Student	6	Male	Regional Teaching College	Other College			Anthropology, Archaeology	Yes	Yes	None								
757	Staff	6	14.5	Staff	14.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Regional Teaching College	Other College			English	Yes	Yes	None								
758	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	R1	Research University			Physics	Yes	Yes	Yes								
759	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Women's & Gender Studies	Unknown	Unknown	None								
760	Tenured Professor	9	24	Full Professor	25.5	Tenured Professor	9	24	Full Professor	25.5	Male	Ivy League	Research University	Princeton, New Jersey	Princeton University	Religious Studies	No	No	None			Princeton	New Jersey	US	08540	08540	
761	Tenured Professor	9	24	Full Professor	25.5	Administration	10	26.5	Management	26	Male	R1	Research University			Science	No	No	None								
762	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Unknown	Research University			Philosophy 	Yes	Yes	Yes								
763	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Other University	Research University				Yes	Yes	None								
764	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Regional Teaching College	Other College			English Creative Writing	Unknown	Unknown	None								
765	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			English	Unknown	Unknown	None								
766	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Physics	Unknown	Unknown	None								
767	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Humanities 	No	No	None								
768	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Conference	Conference & Field Work	Muncie, Indiana	Ball State University	English	Yes	Yes	None			Muncie	Indiana	US	47304	47304	
769	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work	Baltimore, Maryland		English 	Unknown	Unknown	None	John Hopkins University		Baltimore	Maryland	US	74106	74106	
770	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Computer Science	Yes	Yes	Yes								
771	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Unknown	Unknown			English 	No	No	None								
772	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Female	R1	Research University	New York, New York	New York University	Music	No	No	None			New York	New York	US	10012	10012	
773	Faculty	7	16	Faculty	16	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			Medicine	No	No	None								
774	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	University of California	Research University	Santa Cruz, California	University of California - Santa Cruz	Sociology	Yes	Yes	None			Santa Cruz	California	US	95064	95064	
775	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			History 	Yes	Yes	None								
776	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Unknown	0	0	Unknown	0	Unknown	University of California	Research University	Berkeley, California	University of California - Berkeley	Paleontology	No	No	None			Berkeley	California	US	94709	94709	
777	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	(New Jersey)	Rutgers University	Philosophy	Unknown	Unknown	None				New Jersey	US			
778	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Student	2	1.5	Student	1.5	Male	R1	Research University			Classics	No	No	None								
779	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University			History 	Unknown	Unknown	None								
780	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University				Unknown	Unknown	Unknown								
781	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University			History 	Unknown	Unknown	Unknown								
782	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Austin, Texas	University of Texas - Austin	Classics	No	No	None			Austin	Texas	US	78712	78712	
783	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Austin, Texas	University of Texas - Austin	Classics	No	No	None			Austin	Texas	US	78712	78712	
784	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Siciology	Unknown	Unknown	None								
785	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			Art History 	No	No	None								
786	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Multiple	Conference	Conference & Field Work			English	Unknown	Unknown	None								
787	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	R1	Research University			Religious Studies	Unknown	Unknown	Unknown								
788	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Male	R1	Research University	Austin, Texas	University of Texas - Austin	Classics 	No	No	None			Austin	Texas	US	78712	78712	
789	Undergraduate Student	3	2	Undergraduate Student	2	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College			English	No	No	None								
790	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Multiple	University of California	Research University	San Diego, California	University of California - San Diego		Unknown	Private	None			San Diego	California	US	92093	92093	
791	Graduate Student	4	6	Master Student	6.5	Faculty	7	16	Faculty	16	Male	R1	Research University	Corvallis, Oregon	Oregon State University	History	Yes	Yes	None			Corvallis	Oregon	US	97331	97331	
792	Faculty	7	16	Lecturer	16.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Political Science	Yes	Yes	None								
793	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work				No	No	None								
794	Graduate Student	4	6	Master Student	6.5	Unknown	0	0	Unknown	0	Male	Conference	Conference & Field Work			Media	No	No	None								
795	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	University of California	Research University	Berkeley, California	University of California - Berkeley	English	Unknown	Unknown	Unknown			Berkeley	California	US	94709	94709	
796	Staff	6	14.5	Intern / Applicant	9	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Female	Small Liberal Arts College	Other College			Liberal Arts	Yes	Yes	None								
797	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Multiple	R2	Research University	Newark, New Jersey	Rutgers University - Newark	Criminal Justice	Unknown	Unknown	None			Newark	New Jersey	US	07102	07102	
798	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University	Erlangen, Germany	University of Erlangen-Nuremberg	Historical Theology	No	No	None			Erlangen		Germany		91054	91054
799	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Multiple	Small Liberal Arts College	Other College			Political Science	Yes	Yes	None								
800	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University				Yes	Yes	Yes								
801	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Conference	Conference & Field Work			History	Unknown	Unknown	None								
802	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University	(UK)		Humanities 	Unknown	Unknown	None					UK			
803	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			English	No	No	None								
804	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Male	R2	Research University			English	Unknown	Unknown	None								
805	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Social Sciences	No	Private	None								
806	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University				Unknown	Unknown	Unknown								
807	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University			History	Unknown	Unknown	Unknown								
808	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Management	26	Male	R2	Research University	Kent, Ohio	Kent State University	Engineering	Unknown	Unknown	Unknown			Kent	Ohio	US	44243	44243	
809	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University	Plattsburgh, New York	State University of New York - Plattsburgh	Communication 	Yes	Yes	None			Plattsburgh	New York	US	12901	12901	
810	Staff	6	14.5	Staff	14.5	Faculty	7	16	Faculty	16	Male	R1	Research University			Jazz Studies	Unknown	Unknown	None								
811	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University				Unknown	Unknown	None								
812	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Female	Ivy League	Research University	New York, New York	Columbia University	Art	Unknown	Unknown	Unknown			New York	New York	US	10027	10027	
813	Unknown	0	0	Unknown	0	Unknown	0	0	Unknown	0	Female	Other University	Research University			Business 	No	No	None								
814	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Conference	Conference & Field Work			History, Sociology	Unknown	Unknown	None								
815	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Other University	Research University			English	No	No	None								
816	Staff	6	14.5	Staff	14.5	Staff	6	14.5	Staff	14.5	Male	Research Institute	Other			Science	Unknown	Unknown	None								
817	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Female	R1	Research University				Unknown	Unknown	Unknown								
